"linkName","link","price","currencyKM","status","city","size","numOfRooms","equipped","date","views","id","pricePerSquareMeter","numOfRooms2","cityShort","dateNew","count","cityCat","lat","long","country","capital","population","population_proper"
"Namješten jednosoban stan 36,66m2 u gradu 3454/DŠ","https://www.olx.ba/artikal/44188053/namjesten-jednosoban-stan-36-66m2-u-gradu-3454-ds/",26000,TRUE,"korišteno","Brčko",36.66,"Jednosoban (1)","Namješten","06.08.2021.",10739,3055,709.2198581560284,"1","Brčko","2021-08-06",199,"Big Cities",44.8783,18.8092,"Bosnia And Herzegovina","admin",NA,NA
"Stan Višegrad 67m/2 - 700 KM m/2","https://www.olx.ba/artikal/46879183/stan-visegrad-67m-2-700-km-m-2/",49000,TRUE,"korišteno","Višegrad",67,"Trosoban (3)","Namješten","17.02.2022.",3277,2131,731.3432835820895,"3","Višegrad","2022-02-17",3,"Others",43.7833,19.2833,"Bosnia And Herzegovina","minor",5869,5869
"Stan Lastva Trebinje NOVOGODIŠNJA AKCIJA...","https://www.olx.ba/artikal/43898528/stan-lastva-trebinje-novogodisnja-akcija/",30000,TRUE,"korišteno","Trebinje",41,"Jednosoban (1)","Nenamješten","10.07.2021.",12286,1970,731.7073170731708,"1","Trebinje","2021-07-10",16,"Others",42.7089,18.3217,"Bosnia And Herzegovina","minor",31433,31433
"Dvosoban stan,Sanica Gornja","https://www.olx.ba/artikal/37404649/dvosoban-stan-sanica-gornja/",35000,TRUE,"korišteno","Ključ",47,"Dvosoban (2)","Namješten","14.03.2020.",6511,2806,744.6808510638298,"2","Ključ","2020-03-14",4,"Others",44.5325,16.7768,"Bosnia And Herzegovina","minor",NA,NA
"Stan 70m2 Bosanski Brod prodajem ili mijenjam za kuću","https://www.olx.ba/artikal/39606148/stan-70m2-bosanski-brod-prodajem-ili-mijenjam-za-kucu/",52500,TRUE,"korišteno","Brod",70,"Trosoban (3)","Polunamješten","15.10.2022.",16603,2752,750,"3","Brod","2022-10-15",8,"Others",45.1333,17.9833,"Bosnia And Herzegovina","minor",NA,NA
"Prodajem stan u Doboju.","https://www.olx.ba/artikal/23483340/prodajem-stan-u-doboju/",34000,TRUE,"korišteno","Doboj",45,"Dvosoban (2)","Polunamješten","07.11.2016.",16745,2617,755.5555555555555,"2","Doboj","2016-11-07",22,"Others",44.7333,18.1333,"Bosnia And Herzegovina","minor",68514,68514
"PROSTOR prodaje: Stan, trosoban, 78m2, Boljakov Potok","https://www.olx.ba/artikal/47492548/prostor-prodaje-stan-trosoban-78m2-boljakov-potok/",59900,TRUE,"korišteno","Sarajevo, Novi Grad",78,"Trosoban (3)","Nenamješten","31.03.2022.",18291,2729,767.9487179487179,"3","Sarajevo","2022-03-31",291,"Sarajevo",43.8667,18.4167,"Bosnia And Herzegovina","primary",275524,275524
"Dvosoban stan 52 m2 Piskavica Banja Luka","https://www.olx.ba/artikal/20542585/dvosoban-stan-52-m2-piskavica-banja-luka/",40000,TRUE,"korišteno","Banja Luka",52,"Dvosoban (2)","Namješten","27.12.2022.",52410,362,769.2307692307693,"2","Banja Luka","2022-12-27",421,"Big Cities",44.7667,17.1833,"Bosnia And Herzegovina","admin",199191,199191
"Stan u centru Bijeljine","https://www.olx.ba/artikal/38350038/stan-u-centru-bijeljine/",90000,TRUE,"korišteno","Bijeljina",117,"Četverosoban (4)","Namješten","31.05.2020.",7096,2639,769.2307692307693,"4","Bijeljina","2020-05-31",90,"Big Cities",44.75,19.2167,"Bosnia And Herzegovina","minor",114663,114663
"Stan Vareš","https://www.olx.ba/artikal/31158106/stan-vares/",39000,TRUE,"korišteno","Vareš",50,"Dvosoban (2)","Nenamješten","30.09.2018.",26942,3135,780,"2","Vareš","2018-09-30",7,"Others",44.1644,18.3283,"Bosnia And Herzegovina","minor",9556,9556
"Trosoban stan 70m2 u centru Gornje Tuzle na I spratu","https://www.olx.ba/artikal/49816681/trosoban-stan-70m2-u-centru-gornje-tuzle-na-i-spratu/",55000,TRUE,"korišteno","Tuzla",70,"Trosoban (3)","Nenamješten","25.09.2022.",3819,2712,785.7142857142857,"3","Tuzla","2022-09-25",199,"Big Cities",44.5381,18.6761,"Bosnia And Herzegovina","minor",110979,110979
"Trosoban etažni stan površine 76m2! ID:3453/DŠ","https://www.olx.ba/artikal/38140450/trosoban-etazni-stan-povrsine-76m2-id3453-ds/",60000,TRUE,"korišteno","Brčko",76,"Trosoban (3)","Namješten","15.05.2020.",8728,1566,789.4736842105264,"3","Brčko","2020-05-15",199,"Big Cities",44.8783,18.8092,"Bosnia And Herzegovina","admin",NA,NA
"Stan Šamac dvosoban namjesten","https://www.olx.ba/artikal/39200306/stan-samac-dvosoban-namjesten/",39500,TRUE,"korišteno","Šamac",50,"Dvosoban (2)","Namješten","28.07.2020.",9026,2923,790,"2","Šamac","2020-07-28",3,"Others",45.0667,18.4667,"Bosnia And Herzegovina","minor",NA,NA
"Stan u potkrovlju","https://www.olx.ba/artikal/20157211/stan-u-potkrovlju/",120000,TRUE,"korišteno","Novi Travnik",150,"Petosoban i više","Namješten","16.12.2022.",15408,1841,800,"5+","Novi Travnik","2022-12-16",7,"Others",44.1714,17.6581,"Bosnia And Herzegovina","minor",NA,NA
"Jednoiposoban stan u novoj gradnji! ID:1878/JK","https://www.olx.ba/artikal/48955394/jednoiposoban-stan-u-novoj-gradnji-id1878-jk/",37000,TRUE,"korišteno","Brčko",46,"Jednoiposoban (1.5)","Polunamješten","23.07.2022.",2945,1009,804.3478260869565,"1.5","Brčko","2022-07-23",199,"Big Cities",44.8783,18.8092,"Bosnia And Herzegovina","admin",NA,NA
"Prodajem stan","https://www.olx.ba/artikal/50338533/prodajem-stan/",65000,TRUE,"korišteno","Kladanj",80,"Trosoban (3)","Polunamješten","02.11.2022.",1269,2650,812.5,"3","Kladanj","2022-11-02",1,"Others",44.2267,18.6927,"Bosnia And Herzegovina","minor",NA,NA
"Stan Brod zito kombinat","https://www.olx.ba/artikal/44835260/stan-brod-zito-kombinat/",52000,TRUE,"korišteno","Brod",64,"Dvosoban (2)","Nenamješten","29.09.2021.",6218,2863,812.5,"2","Brod","2021-09-29",8,"Others",45.1333,17.9833,"Bosnia And Herzegovina","minor",NA,NA
"Jednosoban stan na II spratu !ID:1379a/EN","https://www.olx.ba/artikal/38490621/jednosoban-stan-na-ii-spratu-id1379a-en/",31000,TRUE,"korišteno","Brčko",38,"Jednosoban (1)","Polunamješten","11.06.2020.",10112,1211,815.7894736842105,"1","Brčko","2020-06-11",199,"Big Cities",44.8783,18.8092,"Bosnia And Herzegovina","admin",NA,NA
"Stan Milići","https://www.olx.ba/artikal/49955724/stan-milici/",45000,TRUE,"korišteno","Milići",55,"Dvosoban (2)","Namješten","05.10.2022.",1237,2807,818.1818181818181,"2","Milići","2022-10-05",1,"Others",44.15,19.0833,"Bosnia And Herzegovina","minor",NA,NA
"Dvosoban stan Han Pijesak","https://www.olx.ba/artikal/51090739/dvosoban-stan-han-pijesak/",46000,TRUE,"korišteno","Han Pijesak",56,"Dvosoban (2)","Namješten","24.12.2022.",125,914,821.4285714285714,"2","Han Pijesak","2022-12-24",2,"Others",44.0817,18.9525,"Bosnia And Herzegovina","minor",NA,NA
"Stan Novi Travnik Novi Travnik","https://www.olx.ba/artikal/48897777/stan-novi-travnik-novi-travnik/",85000,TRUE,"korišteno","Novi Travnik",103,"Četverosoban (4)","Nenamješten","18.07.2022.",4971,3134,825.242718446602,"4","Novi Travnik","2022-07-18",7,"Others",44.1714,17.6581,"Bosnia And Herzegovina","minor",NA,NA
"Trosoban stan površine 100 m2 ID 2152/JS","https://www.olx.ba/artikal/32535740/trosoban-stan-povrsine-100-m2-id-2152-js/",83000,TRUE,"korišteno","Brčko",100,"Trosoban (3)","Nenamješten","28.01.2019.",8919,2847,830,"3","Brčko","2019-01-28",199,"Big Cities",44.8783,18.8092,"Bosnia And Herzegovina","admin",NA,NA
"Stan Bihać","https://www.olx.ba/artikal/50318811/stan-bihac/",37500,TRUE,"korišteno","Bihać",45,"Jednoiposoban (1.5)","Nenamješten","01.11.2022.",3834,2667,833.3333333333334,"1.5","Bihać","2022-11-01",17,"Others",44.8167,15.8667,"Bosnia And Herzegovina","minor",43007,43007
"Stan Ljubija centar, blok","https://www.olx.ba/artikal/50615309/stan-ljubija-centar-blok/",62000,TRUE,"korišteno","Prijedor",74,"Dvosoban (2)","Polunamješten","20.11.2022.",1042,1619,837.8378378378378,"2","Prijedor","2022-11-20",19,"Others",44.9667,16.7,"Bosnia And Herzegovina","minor",89397,89397
"Stan Višegrad 50m2","https://www.olx.ba/artikal/49080363/stan-visegrad-50m2/",42650,TRUE,"korišteno","Višegrad",50,"Trosoban (3)","Namješten","28.07.2022.",1321,3110,853,"3","Višegrad","2022-07-28",3,"Others",43.7833,19.2833,"Bosnia And Herzegovina","minor",5869,5869
"Jednosoban stan Imamovac Mrkonjic Grad","https://www.olx.ba/artikal/48166137/jednosoban-stan-imamovac-mrkonjic-grad/",30000,TRUE,"korišteno","Mrkonjić Grad",35,"Jednosoban (1)","Namješten","19.05.2022.",3610,2064,857.1428571428571,"1","Mrkonjić Grad","2022-05-19",3,"Others",44.4167,17.0833,"Bosnia And Herzegovina","minor",7915,7915
