"linkName","link","price","currencyKM","status","city","size","numOfRooms","equipped","date","views","id","pricePerSquareMeter","numOfRooms2","cityShort","dateNew","count","cityCat","lat","long","country","capital","population","population_proper"
"Prostrani Stan Grad Mostar Prodaja","https://www.olx.ba/artikal/30921912/prostrani-stan-grad-mostar-prodaja/",339000,TRUE,"korišteno","Grad Mostar",136,"Trosoban (3)","Namješten","07.09.2018.",12041,3017,2492.6470588235293,"3","Grad Mostar","2018-09-07",44,"Big Cities",43.3494,17.8125,"Bosnia And Herzegovina","minor",163067,104518
"Stan Mostar - ul. Hrvatske mladeži - prodaja","https://www.olx.ba/artikal/50830802/stan-mostar-ul-hrvatske-mladezi-prodaja/",187000,TRUE,"korišteno","Grad Mostar",75,"Trosoban (3)","Nenamješten","05.12.2022.",2490,548,2493.3333333333335,"3","Grad Mostar","2022-12-05",44,"Big Cities",43.3494,17.8125,"Bosnia And Herzegovina","minor",163067,104518
"Stan Dobrinja agencijaABN","https://www.olx.ba/artikal/38365146/stan-dobrinja-agencijaabn/",192000,TRUE,"korišteno","Sarajevo, Novi Grad",77,"Trosoban (3)","Nenamješten","01.06.2020.",6596,2774,2493.5064935064934,"3","Sarajevo","2020-06-01",291,"Sarajevo",43.8667,18.4167,"Bosnia And Herzegovina","primary",275524,275524
"Stan 57 m2, Lazarevo!","https://www.olx.ba/artikal/48156745/stan-57-m2-lazarevo/",134678,TRUE,"novo","Banja Luka",54,"Dvosoban (2)","Nenamješten","18.05.2022.",3940,895,2494.037037037037,"2","Banja Luka","2022-05-18",421,"Big Cities",44.7667,17.1833,"Bosnia And Herzegovina","admin",199191,199191
"Stan od 46,35","https://www.olx.ba/artikal/49165590/stan-od-46-35/",115875,TRUE,"novo","Bijeljina",46.4,"Dvosoban (2)","Nenamješten","05.08.2022.",705,2530,2497.3060344827586,"2","Bijeljina","2022-08-05",90,"Big Cities",44.75,19.2167,"Bosnia And Herzegovina","minor",114663,114663
"Stan od 44,87m2 Bijeljina","https://www.olx.ba/artikal/49217620/stan-od-44-87m2-bijeljina/",112175,TRUE,"novo","Bijeljina",44.9,"Dvosoban (2)","Nenamješten","10.08.2022.",1029,2533,2498.329621380846,"2","Bijeljina","2022-08-10",90,"Big Cities",44.75,19.2167,"Bosnia And Herzegovina","minor",114663,114663
"NOVA VOGOŠĆA / Novogradnja / Trosoban stan 65,68 m2","https://www.olx.ba/artikal/48860576/nova-vogosca-novogradnja-trosoban-stan-65-68-m2/",164125,TRUE,"novo","Vogošća",65.68,"Trosoban (3)","Nenamješten","15.07.2022.",755,2797,2498.858099878197,"3","Vogošća","2022-07-15",102,"Big Cities",43.9,18.35,"Bosnia And Herzegovina","minor",NA,NA
"Stan od 40,99 m2","https://www.olx.ba/artikal/49219379/stan-od-40-99-m2/",102475,TRUE,"korišteno","Bijeljina",41,"Dvosoban (2)","Nenamješten","10.08.2022.",715,2527,2499.390243902439,"2","Bijeljina","2022-08-10",90,"Big Cities",44.75,19.2167,"Bosnia And Herzegovina","minor",114663,114663
"Stan Lukavica - Dečanska 65m2","https://www.olx.ba/artikal/50921228/stan-lukavica-decanska-65m2/",162500,TRUE,"novo","Lukavica",65,"Trosoban (3)","Nenamješten","12.12.2022.",282,208,2500,"3","Lukavica","2022-12-12",74,"Big Cities",43.8208,18.3803,"Bosnia And Herzegovina","minor",NA,NA
"M2: Istočno Sarajevo. Trosoban stan 57,67m2 / 3. sprat","https://www.olx.ba/artikal/50940277/m2-istocno-sarajevo-trosoban-stan-57-67m2-3-sprat/",145000,TRUE,"korišteno","Lukavica",58,"Trosoban (3)","Polunamješten","13.12.2022.",622,363,2500,"3","Lukavica","2022-12-13",74,"Big Cities",43.8208,18.3803,"Bosnia And Herzegovina","minor",NA,NA
"Stan S16A 47,96m2 | Novogradnja | Rondo Lux Vogošća","https://www.olx.ba/artikal/50225130/stan-s16a-47-96m2-novogradnja-rondo-lux-vogosca/",119900,TRUE,"korišteno","Vogošća",47.96,"Trosoban (3)","Nenamješten","25.10.2022.",1301,458,2500,"3","Vogošća","2022-10-25",102,"Big Cities",43.9,18.35,"Bosnia And Herzegovina","minor",NA,NA
"Stan S20 40,32m2 | Novogradnja | Rondo Lux","https://www.olx.ba/artikal/50966568/stan-s20-40-32m2-novogradnja-rondo-lux/",100800,TRUE,"novo","Vogošća",40.32,"Dvosoban (2)","Nenamješten","15.12.2022.",433,463,2500,"2","Vogošća","2022-12-15",102,"Big Cities",43.9,18.35,"Bosnia And Herzegovina","minor",NA,NA
"Prodaje se STAN pov. 52 m2, Novi Borik, Banja Luka","https://www.olx.ba/artikal/49414085/prodaje-se-stan-pov-52-m2-novi-borik-banja-luka/",130000,TRUE,"korišteno","Banja Luka",52,"Trosoban (3)","Nenamješten","26.08.2022.",7190,559,2500,"3","Banja Luka","2022-08-26",421,"Big Cities",44.7667,17.1833,"Bosnia And Herzegovina","admin",199191,199191
"MY SPACE/ Stan/ Vratnik/ Nafije Sarajlic/ 36 m2","https://www.olx.ba/artikal/41747288/my-space-stan-vratnik-nafije-sarajlic-36-m2/",90000,TRUE,"korišteno","Stari Grad",36,"Jednosoban (1)","Namješten","10.02.2021.",13016,650,2500,"1","Sarajevo","2021-02-10",131,"Sarajevo",43.8667,18.4167,"Bosnia And Herzegovina","primary",275524,275524
"STAN TROSOBAN B LUKA","https://www.olx.ba/artikal/46356591/stan-trosoban-b-luka/",125000,TRUE,"korišteno","Banja Luka",50,"Trosoban (3)","Polunamješten","16.01.2022.",17193,835,2500,"3","Banja Luka","2022-01-16",421,"Big Cities",44.7667,17.1833,"Bosnia And Herzegovina","admin",199191,199191
"Dvoetažni stan, Skenderija, Centar","https://www.olx.ba/artikal/44351277/dvoetazni-stan-skenderija-centar/",325000,TRUE,"korišteno","Sarajevo - Centar",130,"Trosoban (3)","Namješten","21.08.2021.",3081,855,2500,"3","Sarajevo","2021-08-21",392,"Sarajevo",43.8667,18.4167,"Bosnia And Herzegovina","primary",275524,275524
"SIGENX prodaje: Trosoban stan/ Buća potok","https://www.olx.ba/artikal/49364823/sigenx-prodaje-trosoban-stan-buca-potok/",175000,TRUE,"novo","Sarajevo, Novi Grad",70,"Trosoban (3)","Nenamješten","22.08.2022.",2790,925,2500,"3","Sarajevo","2022-08-22",291,"Sarajevo",43.8667,18.4167,"Bosnia And Herzegovina","primary",275524,275524
"Stan Banja Luka Starčevica","https://www.olx.ba/artikal/49945249/stan-banja-luka-starcevica/",197500,TRUE,"korišteno","Banja Luka",79,"Trosoban (3)","Namješten","05.10.2022.",1641,934,2500,"3","Banja Luka","2022-10-05",421,"Big Cities",44.7667,17.1833,"Bosnia And Herzegovina","admin",199191,199191
"Useljiv i namješten dvoiposoban stan! ID:721/BN","https://www.olx.ba/artikal/51077582/useljiv-i-namjesten-dvoiposoban-stan-id721-bn/",157500,TRUE,"korišteno","Brčko",63,"Trosoban (3)","Namješten","23.12.2022.",57,1008,2500,"3","Brčko","2022-12-23",199,"Big Cities",44.8783,18.8092,"Bosnia And Herzegovina","admin",NA,NA
"NOV LUKSUZNO ZAVRŠEN DVOSOBAN STAN - 47 M2","https://www.olx.ba/artikal/46947930/nov-luksuzno-zavrsen-dvosoban-stan-47-m2/",117500,TRUE,"korišteno","Istočni Stari Grad",47,"Dvosoban (2)","Nenamješten","21.02.2022.",1044,1150,2500,"2","Sarajevo","2022-02-21",9,"Sarajevo",43.8667,18.4167,"Bosnia And Herzegovina","primary",275524,275524
"NOV LUKSUZNO ZAVRŠEN DVOSOBAN STAN - 41 M2","https://www.olx.ba/artikal/46790463/nov-luksuzno-zavrsen-dvosoban-stan-41-m2/",102500,TRUE,"korišteno","Istočni Stari Grad",41,"Dvosoban (2)","Nenamješten","11.02.2022.",2077,1157,2500,"2","Sarajevo","2022-02-11",9,"Sarajevo",43.8667,18.4167,"Bosnia And Herzegovina","primary",275524,275524
"NOV LUKSUZNO ZAVRŠEN DVOSOBAN STAN - 47 M2","https://www.olx.ba/artikal/46789492/nov-luksuzno-zavrsen-dvosoban-stan-47-m2/",117500,TRUE,"korišteno","Istočni Stari Grad",47,"Dvosoban (2)","Nenamješten","11.02.2022.",930,1158,2500,"2","Sarajevo","2022-02-11",9,"Sarajevo",43.8667,18.4167,"Bosnia And Herzegovina","primary",275524,275524
"Dvosoban stan - 44,19m2 - Tuzla","https://www.olx.ba/artikal/50041396/dvosoban-stan-44-19m2-tuzla/",110475,TRUE,"novo","Tuzla",44.19,"Dvosoban (2)","Nenamješten","12.10.2022.",4630,1232,2500,"2","Tuzla","2022-10-12",199,"Big Cities",44.5381,18.6761,"Bosnia And Herzegovina","minor",110979,110979
"Stan 60 m2- useljiv- Bijeljina","https://www.olx.ba/artikal/50021141/stan-60-m2-useljiv-bijeljina/",150000,TRUE,"novo","Bijeljina",60,"Trosoban (3)","Nenamješten","11.10.2022.",2077,1288,2500,"3","Bijeljina","2022-10-11",90,"Big Cities",44.75,19.2167,"Bosnia And Herzegovina","minor",114663,114663
"Trosoban stan, Alipašino polje, 72 m2","https://www.olx.ba/artikal/49922322/trosoban-stan-alipasino-polje-72-m2/",180000,TRUE,"korišteno","Sarajevo, Novi Grad",72,"Trosoban (3)","Polunamješten","03.10.2022.",1996,1317,2500,"3","Sarajevo","2022-10-03",291,"Sarajevo",43.8667,18.4167,"Bosnia And Herzegovina","primary",275524,275524
"Trosoban stan u izgradnji sa garažom i ostavom Vogošća","https://www.olx.ba/artikal/50153134/trosoban-stan-u-izgradnji-sa-garazom-i-ostavom-vogosca/",130850,TRUE,"novo","Vogošća",52.34,"Trosoban (3)","Nenamješten","20.10.2022.",3939,1415,2500,"3","Vogošća","2022-10-20",102,"Big Cities",43.9,18.35,"Bosnia And Herzegovina","minor",NA,NA
"LOCUS prodaje: Trosoban stan, ul Mjedenica, Centar","https://www.olx.ba/artikal/50742254/locus-prodaje-trosoban-stan-ul-mjedenica-centar/",185000,TRUE,"korišteno","Stari Grad",74,"Trosoban (3)","Polunamješten","29.11.2022.",444,1590,2500,"3","Sarajevo","2022-11-29",131,"Sarajevo",43.8667,18.4167,"Bosnia And Herzegovina","primary",275524,275524
"Trosoban stan Alipašino Polje/Novi Grad 72m2","https://www.olx.ba/artikal/48302045/trosoban-stan-alipasino-polje-novi-grad-72m2/",180000,TRUE,"korišteno","Sarajevo, Novi Grad",72,"Trosoban (3)","Polunamješten","30.05.2022.",4558,1626,2500,"3","Sarajevo","2022-05-30",291,"Sarajevo",43.8667,18.4167,"Bosnia And Herzegovina","primary",275524,275524
"AKCIJA MOZE NA RATE UZ UCESCE Nov dvosoban stan 37m2","https://www.olx.ba/artikal/30891410/akcija-moze-na-rate-uz-ucesce-nov-dvosoban-stan-37m2/",80000,TRUE,"novo","Vogošća",32,"Dvosoban (2)","Nenamješten","04.09.2018.",75338,1823,2500,"2","Vogošća","2018-09-04",102,"Big Cities",43.9,18.35,"Bosnia And Herzegovina","minor",NA,NA
"Prodaja - troiposoban stan - 87m2 - ul. Avde Ćuka","https://www.olx.ba/artikal/50973747/prodaja-troiposoban-stan-87m2-ul-avde-cuka/",217500,TRUE,"korišteno","Sarajevo, Novi Grad",87,"Četverosoban (4)","Nenamješten","15.12.2022.",329,1856,2500,"4","Sarajevo","2022-12-15",291,"Sarajevo",43.8667,18.4167,"Bosnia And Herzegovina","primary",275524,275524
"Trosoban stan Pejton - Ilidza","https://www.olx.ba/artikal/50951395/trosoban-stan-pejton-ilidza/",210000,TRUE,"korišteno","Ilidža",84,"Trosoban (3)","Nenamješten","14.12.2022.",373,1910,2500,"3","Ilidža","2022-12-14",224,"Big Cities",43.8331,18.3039,"Bosnia And Herzegovina","minor",NA,NA
"STAN NOVOGRADNJA ISTOČNO SARAJEVO 85,81 m2","https://www.olx.ba/artikal/45572852/stan-novogradnja-istocno-sarajevo-85-81-m2/",214525,TRUE,"novo","Lukavica",85.81,"Dvosoban (2)","Nenamješten","22.11.2021.",2824,1942,2500,"2","Lukavica","2021-11-22",74,"Big Cities",43.8208,18.3803,"Bosnia And Herzegovina","minor",NA,NA
"STAN NOVOGRADNJA ISTOČNO SARAJEVO 84,68 m2","https://www.olx.ba/artikal/45574749/stan-novogradnja-istocno-sarajevo-84-68-m2/",211700,TRUE,"novo","Lukavica",84.68,"Dvosoban (2)","Nenamješten","22.11.2021.",2557,1943,2500,"2","Lukavica","2021-11-22",74,"Big Cities",43.8208,18.3803,"Bosnia And Herzegovina","minor",NA,NA
"STAN NOVOGRADNJA ISTOČNO SARAJEVO 64,22 m2","https://www.olx.ba/artikal/45573020/stan-novogradnja-istocno-sarajevo-64-22-m2/",160550,TRUE,"novo","Lukavica",64.22,"Jednosoban (1)","Nenamješten","22.11.2021.",4271,1944,2500,"1","Lukavica","2021-11-22",74,"Big Cities",43.8208,18.3803,"Bosnia And Herzegovina","minor",NA,NA
"STAN NOVOGRADNJA ISTOČNO SARAJEVO 77,54 m2","https://www.olx.ba/artikal/45575299/stan-novogradnja-istocno-sarajevo-77-54-m2/",193850,TRUE,"novo","Lukavica",77.54,"Dvosoban (2)","Nenamješten","22.11.2021.",3237,1945,2500,"2","Lukavica","2021-11-22",74,"Big Cities",43.8208,18.3803,"Bosnia And Herzegovina","minor",NA,NA
"Stan Otes,","https://www.olx.ba/artikal/43706202/stan-otes/",125000,TRUE,"korišteno","Ilidža",50,"Dvosoban (2)","Polunamješten","30.06.2021.",8191,2083,2500,"2","Ilidža","2021-06-30",224,"Big Cities",43.8331,18.3039,"Bosnia And Herzegovina","minor",NA,NA
"Stan Sarajevo-Novi Grad","https://www.olx.ba/artikal/49771925/stan-sarajevo-novi-grad/",180000,TRUE,"korišteno","Sarajevo, Novi Grad",72,"Trosoban (3)","Namješten","21.09.2022.",1362,2263,2500,"3","Sarajevo","2022-09-21",291,"Sarajevo",43.8667,18.4167,"Bosnia And Herzegovina","primary",275524,275524
"STAN NOVOGRADNJA ISTOČNO SARAJEVO 67,98 m2","https://www.olx.ba/artikal/47349068/stan-novogradnja-istocno-sarajevo-67-98-m2/",169950,TRUE,"novo","Lukavica",67.98,"Trosoban (3)","Namješten","21.03.2022.",3394,2292,2500,"3","Lukavica","2022-03-21",74,"Big Cities",43.8208,18.3803,"Bosnia And Herzegovina","minor",NA,NA
"Stan Vogosca","https://www.olx.ba/artikal/49723348/stan-vogosca/",200000,TRUE,"korišteno","Vogošća",80,"Trosoban (3)","Namješten","18.09.2022.",959,2312,2500,"3","Vogošća","2022-09-18",102,"Big Cities",43.9,18.35,"Bosnia And Herzegovina","minor",NA,NA
"Jednosoban stan-Stari grad-Safvet-bega Bašagića","https://www.olx.ba/artikal/50725909/jednosoban-stan-stari-grad-safvet-bega-basagica/",80000,TRUE,"korišteno","Stari Grad",32,"Jednosoban (1)","Namješten","28.11.2022.",3261,2343,2500,"1","Sarajevo","2022-11-28",131,"Sarajevo",43.8667,18.4167,"Bosnia And Herzegovina","primary",275524,275524
"Nekretnine stan","https://www.olx.ba/artikal/50712001/nekretnine-stan/",320000,TRUE,"korišteno","Ilidža",128,"Četverosoban (4)","Namješten","27.11.2022.",122,2363,2500,"4","Ilidža","2022-11-27",224,"Big Cities",43.8331,18.3039,"Bosnia And Herzegovina","minor",NA,NA
"Stan 54,6 m2 Dobrinja Novo Okijevo naselje","https://www.olx.ba/artikal/44649523/stan-54-6-m2-dobrinja-novo-okijevo-naselje/",135000,TRUE,"korišteno","Sarajevo, Novi Grad",54,"Dvosoban (2)","Nenamješten","15.09.2021.",4771,2386,2500,"2","Sarajevo","2021-09-15",291,"Sarajevo",43.8667,18.4167,"Bosnia And Herzegovina","primary",275524,275524
"Stan Bijeljina ( prodaja)","https://www.olx.ba/artikal/50580420/stan-bijeljina-prodaja/",180000,TRUE,"korišteno","Bijeljina",72,"Trosoban (3)","Namješten","18.11.2022.",861,2468,2500,"3","Bijeljina","2022-11-18",90,"Big Cities",44.75,19.2167,"Bosnia And Herzegovina","minor",114663,114663
"Stan 58m2 u Bijeljini","https://www.olx.ba/artikal/50561160/stan-58m2-u-bijeljini/",145000,TRUE,"korišteno","Bijeljina",58,"Trosoban (3)","Nenamješten","17.11.2022.",700,2480,2500,"3","Bijeljina","2022-11-17",90,"Big Cities",44.75,19.2167,"Bosnia And Herzegovina","minor",114663,114663
"Stan u Tuzli 54m2","https://www.olx.ba/artikal/50556723/stan-u-tuzli-54m2/",135000,TRUE,"korišteno","Tuzla",54,"Dvosoban (2)","Polunamješten","17.11.2022.",3016,2484,2500,"2","Tuzla","2022-11-17",199,"Big Cities",44.5381,18.6761,"Bosnia And Herzegovina","minor",110979,110979
"STAN NOVOGRADNJA ISTOČNO SARAJEVO 79,70 m2","https://www.olx.ba/artikal/45544813/stan-novogradnja-istocno-sarajevo-79-70-m2/",199250,TRUE,"novo","Lukavica",79.7,"Dvosoban (2)","Nenamješten","20.11.2021.",2698,2520,2500,"2","Lukavica","2021-11-20",74,"Big Cities",43.8208,18.3803,"Bosnia And Herzegovina","minor",NA,NA
"Stan Travnik","https://www.olx.ba/artikal/48064320/stan-travnik/",222500,TRUE,"korišteno","Travnik",89,"Trosoban (3)","Namješten","11.05.2022.",5640,2542,2500,"3","Travnik","2022-05-11",20,"Others",44.2333,17.6667,"Bosnia And Herzegovina","minor",NA,NA
"Stan Tuzla Bulevar 84kvadrata","https://www.olx.ba/artikal/50338553/stan-tuzla-bulevar-84kvadrata/",210000,TRUE,"korišteno","Tuzla",84,"Trosoban (3)","Namješten","02.11.2022.",1877,2649,2500,"3","Tuzla","2022-11-02",199,"Big Cities",44.5381,18.6761,"Bosnia And Herzegovina","minor",110979,110979
"Stan Nova Vogošča","https://www.olx.ba/artikal/49452972/stan-nova-vogosca/",145000,TRUE,"korišteno","Vogošća",58,"Trosoban (3)","Nenamješten","29.08.2022.",2896,2706,2500,"3","Vogošća","2022-08-29",102,"Big Cities",43.9,18.35,"Bosnia And Herzegovina","minor",NA,NA
"Stan 84,5 m2 Hiseta","https://www.olx.ba/artikal/50104387/stan-84-5-m2-hiseta/",210000,TRUE,"korišteno","Banja Luka",84,"Dvosoban (2)","Polunamješten","17.10.2022.",703,2747,2500,"2","Banja Luka","2022-10-17",421,"Big Cities",44.7667,17.1833,"Bosnia And Herzegovina","admin",199191,199191
"NOVA VOGOŠĆA / Novogradnja / Četvorosoban stan 86,85 m2","https://www.olx.ba/artikal/48860656/nova-vogosca-novogradnja-cetvorosoban-stan-86-85-m2/",217125,TRUE,"novo","Vogošća",86.85,"Četverosoban (4)","Nenamješten","15.07.2022.",1119,2773,2500,"4","Vogošća","2022-07-15",102,"Big Cities",43.9,18.35,"Bosnia And Herzegovina","minor",NA,NA
"NOVA VOGOŠĆA / Novogradnja / Dvosoban stan 42,78 m2","https://www.olx.ba/artikal/48860375/nova-vogosca-novogradnja-dvosoban-stan-42-78-m2/",106950,TRUE,"novo","Vogošća",42.78,"Dvosoban (2)","Nenamješten","14.07.2022.",3045,2777,2500,"2","Vogošća","2022-07-14",102,"Big Cities",43.9,18.35,"Bosnia And Herzegovina","minor",NA,NA
"NOVA VOGOŠĆA / Novogradnja / Četvorosoban stan 88,20 m2","https://www.olx.ba/artikal/48860647/nova-vogosca-novogradnja-cetvorosoban-stan-88-20-m2/",220500,TRUE,"novo","Vogošća",88.2,"Četverosoban (4)","Nenamješten","15.07.2022.",1006,2795,2500,"4","Vogošća","2022-07-15",102,"Big Cities",43.9,18.35,"Bosnia And Herzegovina","minor",NA,NA
"NOVA VOGOŠĆA / Novogradnja / Trosoban stan 70,28 m2","https://www.olx.ba/artikal/48860629/nova-vogosca-novogradnja-trosoban-stan-70-28-m2/",175700,TRUE,"novo","Vogošća",70.28,"Trosoban (3)","Nenamješten","15.07.2022.",1050,2796,2500,"3","Vogošća","2022-07-15",102,"Big Cities",43.9,18.35,"Bosnia And Herzegovina","minor",NA,NA
"NOVA VOGOŠĆA / Novogradnja / Trosoban stan 66,77 m2","https://www.olx.ba/artikal/48860502/nova-vogosca-novogradnja-trosoban-stan-66-77-m2/",166925,TRUE,"novo","Vogošća",66.77,"Trosoban (3)","Nenamješten","14.07.2022.",816,2798,2500,"3","Vogošća","2022-07-14",102,"Big Cities",43.9,18.35,"Bosnia And Herzegovina","minor",NA,NA
"NOVA VOGOŠĆA / Novogradnja / Trosoban stan 58,40 m2","https://www.olx.ba/artikal/48860472/nova-vogosca-novogradnja-trosoban-stan-58-40-m2/",146000,TRUE,"novo","Vogošća",58.4,"Trosoban (3)","Nenamješten","14.07.2022.",1179,2799,2500,"3","Vogošća","2022-07-14",102,"Big Cities",43.9,18.35,"Bosnia And Herzegovina","minor",NA,NA
"NOVA VOGOŠĆA / Novogradnja / Trosoban stan 64,59 m2","https://www.olx.ba/artikal/48860427/nova-vogosca-novogradnja-trosoban-stan-64-59-m2/",161475,TRUE,"novo","Vogošća",64.59,"Trosoban (3)","Nenamješten","14.07.2022.",750,2800,2500,"3","Vogošća","2022-07-14",102,"Big Cities",43.9,18.35,"Bosnia And Herzegovina","minor",NA,NA
"Stan u Tesliću - PRODAJA","https://www.olx.ba/artikal/49817759/stan-u-teslicu-prodaja/",205000,TRUE,"korišteno","Teslić",82,"Trosoban (3)","Namješten","25.09.2022.",1710,2857,2500,"3","Teslić","2022-09-25",3,"Others",44.6064,17.8597,"Bosnia And Herzegovina","minor",NA,NA
"Stan Mojmilo 38 m2","https://www.olx.ba/artikal/49812952/stan-mojmilo-38-m2/",100000,TRUE,"korišteno","Sarajevo, Novi Grad",40,"Jednosoban (1)","Nenamješten","24.09.2022.",3307,2859,2500,"1","Sarajevo","2022-09-24",291,"Sarajevo",43.8667,18.4167,"Bosnia And Herzegovina","primary",275524,275524
"Dvoetažni stan prodaja Centar Sarajevo","https://www.olx.ba/artikal/49222262/dvoetazni-stan-prodaja-centar-sarajevo/",325000,TRUE,"korišteno","Sarajevo - Centar",130,"Četverosoban (4)","Namješten","10.08.2022.",1108,2887,2500,"4","Sarajevo","2022-08-10",392,"Sarajevo",43.8667,18.4167,"Bosnia And Herzegovina","primary",275524,275524
"Stan Vogošća","https://www.olx.ba/artikal/49629004/stan-vogosca/",160000,TRUE,"korišteno","Vogošća",64,"Dvosoban (2)","Namješten","11.09.2022.",4732,2926,2500,"2","Vogošća","2022-09-11",102,"Big Cities",43.9,18.35,"Bosnia And Herzegovina","minor",NA,NA
"Stan Sarajevo-Novi Grad","https://www.olx.ba/artikal/49027833/stan-sarajevo-novi-grad/",120000,TRUE,"korišteno","Sarajevo, Novi Grad",48,"Dvosoban (2)","Namješten","26.07.2022.",4763,2961,2500,"2","Sarajevo","2022-07-26",291,"Sarajevo",43.8667,18.4167,"Bosnia And Herzegovina","primary",275524,275524
"Stan Zenica","https://www.olx.ba/artikal/47043546/stan-zenica/",160000,TRUE,"korišteno","Zenica",64,"Dvosoban (2)","Namješten","28.02.2022.",8740,2965,2500,"2","Zenica","2022-02-28",70,"Big Cities",44.2039,17.9078,"Bosnia And Herzegovina","minor",70553,70553
"Stan Bijeljina centar","https://www.olx.ba/artikal/46385421/stan-bijeljina-centar/",130000,TRUE,"novo","Bijeljina",52,"Dvosoban (2)","Nenamješten","18.01.2022.",5582,3036,2500,"2","Bijeljina","2022-01-18",90,"Big Cities",44.75,19.2167,"Bosnia And Herzegovina","minor",114663,114663
"Stan Bijeljina","https://www.olx.ba/artikal/49176034/stan-bijeljina/",92500,TRUE,"novo","Bijeljina",37,"Dvosoban (2)","Nenamješten","06.08.2022.",2661,3057,2500,"2","Bijeljina","2022-08-06",90,"Big Cities",44.75,19.2167,"Bosnia And Herzegovina","minor",114663,114663
"Stan S16A 47,96 m2 | Vogošća | Novogradnja | Rondo Lux","https://www.olx.ba/artikal/49118927/stan-s16a-47-96-m2-vogosca-novogradnja-rondo-lux/",119900,TRUE,"novo","Vogošća",47.96,"Trosoban (3)","Nenamješten","01.08.2022.",1818,3106,2500,"3","Vogošća","2022-08-01",102,"Big Cities",43.9,18.35,"Bosnia And Herzegovina","minor",NA,NA
"Stan od 49,23m2 Bijeljina","https://www.olx.ba/artikal/49165308/stan-od-49-23m2-bijeljina/",123075,TRUE,"novo","Bijeljina",49.2,"Dvosoban (2)","Nenamješten","05.08.2022.",1112,2528,2501.5243902439024,"2","Bijeljina","2022-08-05",90,"Big Cities",44.75,19.2167,"Bosnia And Herzegovina","minor",114663,114663
"Stan od 49,23m2 Bijeljina","https://www.olx.ba/artikal/49165450/stan-od-49-23m2-bijeljina/",123079,TRUE,"novo","Bijeljina",49.2,"Dvosoban (2)","Nenamješten","05.08.2022.",749,2529,2501.6056910569105,"2","Bijeljina","2022-08-05",90,"Big Cities",44.75,19.2167,"Bosnia And Herzegovina","minor",114663,114663
"NOVOGRADNJA!! Četverosoban stan, 88,20m2, Vogošća","https://www.olx.ba/artikal/49206016/novogradnja-cetverosoban-stan-88-20m2-vogosca/",220500,TRUE,"novo","Vogošća",88,"Četverosoban (4)","Nenamješten","09.08.2022.",3599,86,2505.681818181818,"4","Vogošća","2022-08-09",102,"Big Cities",43.9,18.35,"Bosnia And Herzegovina","minor",NA,NA
"Trosoban stan Dobrinja I/Novi Grad 67m2","https://www.olx.ba/artikal/50342732/trosoban-stan-dobrinja-i-novi-grad-67m2/",168000,TRUE,"korišteno","Sarajevo, Novi Grad",67,"Trosoban (3)","Nenamješten","03.11.2022.",2416,1039,2507.4626865671644,"3","Sarajevo","2022-11-03",291,"Sarajevo",43.8667,18.4167,"Bosnia And Herzegovina","primary",275524,275524
"NOVOGRADNJA!! Trosoban stan površine 70,28m2, Vogošća","https://www.olx.ba/artikal/49141366/novogradnja-trosoban-stan-povrsine-70-28m2-vogosca/",175700,TRUE,"novo","Vogošća",70,"Trosoban (3)","Nenamješten","03.08.2022.",2799,97,2510,"3","Vogošća","2022-08-03",102,"Big Cities",43.9,18.35,"Bosnia And Herzegovina","minor",NA,NA
"GOLDEN HOME PRODAJE - TROSOBAN STAN U ZENICI","https://www.olx.ba/artikal/44407486/golden-home-prodaje-trosoban-stan-u-zenici/",270000,TRUE,"korišteno","Zenica",107.55,"Trosoban (3)","Namješten","26.08.2021.",7329,1789,2510.460251046025,"3","Zenica","2021-08-26",70,"Big Cities",44.2039,17.9078,"Bosnia And Herzegovina","minor",70553,70553
"Trosoban adaptiran stan - Novi grad - Dobrinja - 88 m2","https://www.olx.ba/artikal/48324088/trosoban-adaptiran-stan-novi-grad-dobrinja-88-m2/",221000,TRUE,"korišteno","Sarajevo, Novi Grad",88,"Trosoban (3)","Nenamješten","31.05.2022.",3427,579,2511.3636363636365,"3","Sarajevo","2022-05-31",291,"Sarajevo",43.8667,18.4167,"Bosnia And Herzegovina","primary",275524,275524
"M2: Dobrinja 2. Trosoban stan 88m2 sa dva balkona","https://www.olx.ba/artikal/50204003/m2-dobrinja-2-trosoban-stan-88m2-sa-dva-balkona/",221000,TRUE,"korišteno","Sarajevo, Novi Grad",88,"Trosoban (3)","Polunamješten","24.10.2022.",1340,663,2511.3636363636365,"3","Sarajevo","2022-10-24",291,"Sarajevo",43.8667,18.4167,"Bosnia And Herzegovina","primary",275524,275524
"MY SPACE/ Stan/ Dobrinja/ RENOVIRAN/ 88 m2","https://www.olx.ba/artikal/48315508/my-space-stan-dobrinja-renoviran-88-m2/",221000,TRUE,"korišteno","Sarajevo, Novi Grad",88,"Trosoban (3)","Nenamješten","31.05.2022.",6793,1354,2511.3636363636365,"3","Sarajevo","2022-05-31",291,"Sarajevo",43.8667,18.4167,"Bosnia And Herzegovina","primary",275524,275524
