price,status,city,size,equipped,pricePerSquareMeter,cityShort,count,cityCat,capital,population,year,month,numOfRooms
170000,0,"Banjalucka, Novi Grad",170,2,1000,Sarajevo,2,Sarajevo,primary,275524,2022,12,5
105000,0,Brcko,105,1,1000,Brcko,199,Big Cities,admin,83516,2019,8,3
50000,0,Tuzla,50,2,1000,Tuzla,199,Big Cities,minor,110979,2020,3,2
63000,0,Brcko,63,0,1000,Brcko,199,Big Cities,admin,83516,2022,4,2
86000,0,Gacko,86,2,1000,Gacko,3,Others,minor,8990,2016,2,3
25000,0,Brcko,25,2,1000,Brcko,199,Big Cities,admin,83516,2022,10,1
77000,0,Donji Vakuf,77,0,1000,Donji Vakuf,1,Others,minor,13985,2022,11,3
63000,0,Brod,63,2,1000,Brod,8,Others,minor,16619,2019,12,2
40000,0,Brcko,40,1,1000,Brcko,199,Big Cities,admin,83516,2019,9,1
25000,0,Brcko,25,1,1000,Brcko,199,Big Cities,admin,83516,2020,5,1
74000,0,Visegrad,74,0,1000,Visegrad,3,Others,minor,10668,2022,5,2
45000,0,Bihac,45,0,1000,Bihac,17,Others,minor,56261,2022,1,1
50000,1,Stanari,50,0,1000,Stanari,1,Others,minor,1075,2021,12,2
100000,0,Tuzla,98.8,2,1012.15,Tuzla,199,Big Cities,minor,110979,2017,6,3
100000,0,Brcko,98,2,1020.41,Brcko,199,Big Cities,admin,83516,2018,9,4
50000,0,Bratunac,49,0,1020.41,Bratunac,2,Others,minor,20340,2022,8,2
69500,0,Doboj,67,1,1037.31,Doboj,22,Others,minor,71441,2017,4,3
52000,0,Srebrenica,50,2,1040,Srebrenica,1,Others,minor,13409,2022,2,2
50000,0,Rudo,48,0,1041.67,Rudo,1,Others,minor,7963,2022,8,2
45000,0,Brcko,43,0,1046.51,Brcko,199,Big Cities,admin,83516,2018,5,2
113500,0,Brcko,108,1,1050.93,Brcko,199,Big Cities,admin,83516,2017,9,4
113500,0,Brcko,108,1,1050.93,Brcko,199,Big Cities,admin,83516,2017,9,4
100000,0,Banja Luka,95,0,1052.63,Banja Luka,421,Big Cities,admin,185042,2018,9,3
80000,0,Zenica,76,0,1052.63,Zenica,70,Big Cities,minor,110663,2022,9,3
78000,0,Novi Travnik,74,1,1054.05,Novi Travnik,7,Others,minor,23832,2022,7,2
55000,0,Foca,52,2,1057.69,Foca,2,Others,minor,18288,2022,12,2
93500,0,Novi Travnik,88,1,1062.5,Novi Travnik,7,Others,minor,23832,2022,11,3
58500,0,"Sarajevo, Novi Grad",55,2,1063.64,Sarajevo,291,Sarajevo,primary,275524,2022,7,1
160000,0,Tuzla,150,0,1066.67,Tuzla,199,Big Cities,minor,110979,2021,4,3
570000,0,Zivinice,533,2,1069.42,Zivinice,9,Others,minor,57765,2022,9,5
42000,0,Han Pijesak,39,2,1076.92,Han Pijesak,2,Others,minor,3530,2022,9,1
70000,0,Brod,64,0,1093.75,Brod,8,Others,minor,16619,2022,12,2
45000,0,Pale,41,1,1097.56,Pale,15,Others,minor,20909,2022,8,1
89000,0,Zenica,81,0,1098.77,Zenica,70,Big Cities,minor,110663,2021,8,3
51000,0,Gacko,46,0,1108.7,Gacko,3,Others,minor,8990,2022,2,1
89000,0,Capljina,80,2,1112.5,Capljina,3,Others,minor,26157,2022,12,2
78000,0,Breza,70,2,1114.29,Breza,7,Others,minor,14168,2022,12,3
140000,1,Brcko,125,1,1120,Brcko,199,Big Cities,admin,83516,2020,10,4
120000,0,Brcko,107,2,1121.5,Brcko,199,Big Cities,admin,83516,2018,10,4
46000,0,Kljuc,41,2,1121.95,Kljuc,4,Others,minor,16744,2022,12,1
72000,0,Vares,64,2,1125,Vares,7,Others,minor,8892,2022,10,3
52000,0,Bijeljina,46,1,1130.43,Bijeljina,90,Big Cities,minor,107715,2022,11,2
68000,0,Vlasenica,60,0,1133.33,Vlasenica,1,Others,minor,11467,2022,9,2
80000,0,Knezevo,70,1,1142.86,Knezevo,1,Others,minor,9793,2022,7,2
94000,0,Brcko,82,0,1146.34,Brcko,199,Big Cities,admin,83516,2017,11,3
69000,0,Zenica,60,1,1150,Zenica,70,Big Cities,minor,110663,2022,6,2
60000,1,Doboj,52,0,1153.85,Doboj,22,Others,minor,71441,2022,12,2
150000,0,Brcko,130,1,1153.85,Brcko,199,Big Cities,admin,83516,2021,9,3
150000,0,Brcko,130,1,1153.85,Brcko,199,Big Cities,admin,83516,2019,4,3
93000,0,Brcko,79.8,0,1165.41,Brcko,199,Big Cities,admin,83516,2017,4,2
140000,0,Tuzla,120,1,1166.67,Tuzla,199,Big Cities,minor,110979,2018,8,3
93500,1,Tuzla,80,0,1168.75,Tuzla,199,Big Cities,minor,110979,2022,10,3
29500,0,Kljuc,25,2,1180,Kljuc,4,Others,minor,16744,2022,7,1
95000,0,Brcko,80,0,1187.5,Brcko,199,Big Cities,admin,83516,2016,10,2
67000,0,Grad Mostar,56,0,1196.43,Grad Mostar,44,Big Cities,minor,105797,2018,6,2
111600,0,Brcko,93,0,1200,Brcko,199,Big Cities,admin,83516,2022,9,3
88800,0,Doboj,74,0,1200,Doboj,22,Others,minor,71441,2022,12,3
65000,0,Bijeljina,54,2,1203.7,Bijeljina,90,Big Cities,minor,107715,2018,5,2
180000,0,Grad Mostar,149,2,1208.05,Grad Mostar,44,Big Cities,minor,105797,2022,11,3
34000,0,Brod,28,2,1214.29,Brod,8,Others,minor,16619,2022,12,1
39000,0,Brcko,32,2,1218.75,Brcko,199,Big Cities,admin,83516,2020,8,1
55000,0,Ribnik,45,0,1222.22,Ribnik,1,Others,minor,6048,2022,11,1
60000,0,Brcko,49,2,1224.49,Brcko,199,Big Cities,admin,83516,2022,10,2
60000,0,Brcko,49,2,1224.49,Brcko,199,Big Cities,admin,83516,2021,3,2
80000,0,Novi Travnik,65,2,1230.77,Novi Travnik,7,Others,minor,23832,2022,11,2
90000,0,Derventa,73,2,1232.88,Derventa,4,Others,minor,27404,2020,7,3
100000,0,Brcko,81,0,1234.57,Brcko,199,Big Cities,admin,83516,2016,4,3
80000,0,Pale,64,1,1250,Pale,15,Others,minor,20909,2022,9,2
87500,0,Breza,70,1,1250,Breza,7,Others,minor,14168,2022,10,2
100000,0,Brcko,80,1,1250,Brcko,199,Big Cities,admin,83516,2017,10,3
80000,1,Mrkonjic Grad,64,2,1250,Mrkonjic Grad,3,Others,minor,16671,2022,8,1
75000,0,Kozarska Dubica,60,2,1250,Kozarska Dubica,4,Others,minor,21524,2021,2,2
75000,0,Brcko,60,0,1250,Brcko,199,Big Cities,admin,83516,2018,8,2
63000,0,Brcko,50,2,1260,Brcko,199,Big Cities,admin,83516,2022,12,1
58000,0,Brcko,46,1,1260.87,Brcko,199,Big Cities,admin,83516,2020,12,1
100000,0,Brcko,79,2,1265.82,Brcko,199,Big Cities,admin,83516,2022,3,3
195000,0,Zenica,154,1,1266.23,Zenica,70,Big Cities,minor,110663,2021,1,5
165000,0,Breza,130.29,0,1266.41,Breza,7,Others,minor,14168,2022,7,3
95000,0,Brcko,75,1,1266.67,Brcko,199,Big Cities,admin,83516,2019,4,3
80000,0,Sokolac,63,0,1269.84,Sokolac,2,Others,minor,12021,2022,7,2
75000,0,Hadzici,59,0,1271.19,Hadzici,6,Others,minor,23891,2022,8,2
70000,0,Capljina,55,2,1272.73,Capljina,3,Others,minor,26157,2022,11,2
135000,0,Brcko,106,1,1273.58,Brcko,199,Big Cities,admin,83516,2022,7,5
115000,0,Brcko,90,2,1277.78,Brcko,199,Big Cities,admin,83516,2019,5,4
55000,0,Brcko,43,2,1279.07,Brcko,199,Big Cities,admin,83516,2022,9,1
110000,0,Brcko,86,0,1279.07,Brcko,199,Big Cities,admin,83516,2018,9,4
97500,1,Brcko,76,2,1282.89,Brcko,199,Big Cities,admin,83516,2020,6,4
90000,0,Brcko,70,2,1285.71,Brcko,199,Big Cities,admin,83516,2020,2,3
58000,0,Doboj,45,2,1288.89,Doboj,22,Others,minor,71441,2022,10,2
98000,1,Brcko,76,0,1289.47,Brcko,199,Big Cities,admin,83516,2022,3,2
83000,0,Brcko,64,2,1296.88,Brcko,199,Big Cities,admin,83516,2022,10,2
87000,0,Brcko,67,0,1298.51,Brcko,199,Big Cities,admin,83516,2021,9,3
87958,0,Cazin,67.7,2,1299.23,Cazin,5,Others,minor,66149,2022,10,2
78000,0,Brcko,60,0,1300,Brcko,199,Big Cities,admin,83516,2020,10,1
122200,0,Bijeljina,94,1,1300,Bijeljina,90,Big Cities,minor,107715,2022,8,3
